epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,11716.8,0.68736,3.19991,0.2698,0.43702,1.106,0.96839,0.97989,0.99064,0.89558,0.86316,0.82838,0.84395,0.68919,0.55045,1.92945,0.05539,0.28235,0.98109,0.006436,0.006436,0.006436
38,12031.4,0.67776,3.13781,0.26824,0.42888,1.10135,0.96873,0.97998,0.99081,0.8947,0.85609,0.83124,0.83577,0.68709,0.54832,1.93152,0.05376,0.28018,0.98079,0.006337,0.006337,0.006337
39,12347.8,0.67985,3.16702,0.26617,0.42798,1.10079,0.96897,0.97985,0.9909,0.89475,0.85853,0.83107,0.83524,0.68846,0.54739,1.91449,0.05266,0.27895,0.97912,0.006238,0.006238,0.006238
40,12665.4,0.67521,3.15019,0.26619,0.42458,1.10105,0.96897,0.97983,0.9909,0.89533,0.86181,0.83107,0.84264,0.69259,0.54449,1.90479,0.05236,0.2794,0.97749,0.006139,0.006139,0.006139
41,12987.3,0.67291,3.07661,0.26088,0.42392,1.09791,0.97103,0.9781,0.99091,0.89762,0.8615,0.83658,0.84638,0.69941,0.54226,1.87689,0.05103,0.27632,0.97583,0.00604,0.00604,0.00604
42,13309.3,0.67176,3.06429,0.26221,0.42148,1.0973,0.97065,0.97746,0.99107,0.89919,0.86298,0.83978,0.85028,0.70324,0.54044,1.86311,0.05053,0.27648,0.97502,0.005941,0.005941,0.005941
43,13630.6,0.66492,3.05038,0.26007,0.41781,1.09424,0.9711,0.97784,0.99097,0.899,0.86597,0.84004,0.8493,0.70115,0.53723,1.85516,0.05046,0.27561,0.9731,0.005842,0.005842,0.005842
44,13952.4,0.66603,3.05276,0.2598,0.41736,1.09318,0.97088,0.9777,0.99115,0.8988,0.86569,0.83965,0.84846,0.70149,0.53659,1.85385,0.04984,0.27384,0.97199,0.005743,0.005743,0.005743
45,14273.9,0.66844,3.00979,0.25596,0.41679,1.09605,0.96924,0.98063,0.99117,0.89916,0.86513,0.84055,0.84876,0.70346,0.53655,1.85844,0.04938,0.27186,0.97187,0.005644,0.005644,0.005644
46,14595.4,0.66038,3.00964,0.25541,0.41458,1.08771,0.97035,0.98088,0.99116,0.90172,0.86396,0.84019,0.85169,0.7091,0.53594,1.85264,0.04879,0.27032,0.97189,0.005545,0.005545,0.005545
